area_type_code,area_code,area_text,display_level,selectable,sort_sequence,unique_code,employment_code,unemployment_code
A,ST0100000000000,Alabama,0,T,1,1000,ENU0100010010,LAUST01000000000003
A,ST0200000000000,Alaska,0,T,149,2000,ENU0200010010,LAUST02000000000003
A,ST0400000000000,Arizona,0,T,193,4000,ENU0400010010,LAUST04000000000003
A,ST0500000000000,Arkansas,0,T,257,5000,ENU0500010010,LAUST05000000000003
A,ST0600000000000,California,0,T,383,6000,ENU0600010010,LAUST06000000000003
A,ST0800000000000,Colorado,0,T,772,8000,ENU0800010010,LAUST08000000000003
A,ST0900000000000,Connecticut,0,T,908,9000,ENU0900010010,LAUST09000000000003
A,ST1000000000000,Delaware,0,T,1100,10000,ENU1000010010,LAUST10000000000003
A,ST1100000000000,District of Columbia,0,T,1112,11000,ENU1100010010,LAUST11000000000003
A,ST1200000000000,Florida,0,T,1119,12000,ENU1200010010,LAUST12000000000003
A,ST1300000000000,Georgia,0,T,1331,13000,ENU1300010010,LAUST13000000000003
A,ST1500000000000,Hawaii,0,T,1585,15000,ENU1500010010,LAUST15000000000003
A,ST1600000000000,Idaho,0,T,1595,16000,ENU1600010010,LAUST16000000000003
A,ST1700000000000,Illinois,0,T,1676,17000,ENU1700010010,LAUST17000000000003
A,ST1800000000000,Indiana,0,T,1961,18000,ENU1800010010,LAUST18000000000003
A,ST1900000000000,Iowa,0,T,2142,19000,ENU1900010010,LAUST19000000000003
A,ST2000000000000,Kansas,0,T,2304,20000,ENU2000010010,LAUST20000000000003
A,ST2100000000000,Kentucky,0,T,2454,21000,ENU2100010010,LAUST21000000000003
A,ST2200000000000,Louisiana,0,T,2626,22000,ENU2200010010,LAUST22000000000003
A,ST2300000000000,Maine,0,T,2730,23000,ENU2300010010,LAUST23000000000003
A,ST2400000000000,Maryland,0,T,3302,24000,ENU2400010010,LAUST24000000000003
A,ST2500000000000,Massachusetts,0,T,3349,25000,ENU2500010010,LAUST25000000000003
A,ST2600000000000,Michigan,0,T,3747,26000,ENU2600010010,LAUST26000000000003
A,ST2700000000000,Minnesota,0,T,3973,27000,ENU2700010010,LAUST27000000000003
A,ST2800000000000,Mississippi,0,T,4145,28000,ENU2800010010,LAUST28000000000003
A,ST2900000000000,Missouri,0,T,4279,29000,ENU2900010010,LAUST29000000000003
A,ST3000000000000,Montana,0,T,4471,30000,ENU3000010010,LAUST30000000000003
A,ST3100000000000,Nebraska,0,T,4544,31000,ENU3100010010,LAUST31000000000003
A,ST3200000000000,Nevada,0,T,4663,32000,ENU3200010010,LAUST32000000000003
A,ST3300000000000,New Hampshire,0,T,4698,33000,ENU3300010010,LAUST33000000000003
A,ST3400000000000,New Jersey,0,T,4986,34000,ENU3400010010,LAUST34000000000003
A,ST3500000000000,New Mexico,0,T,5124,35000,ENU3500010010,LAUST35000000000003
A,ST3600000000000,New York,0,T,5189,36000,ENU3600010010,LAUST36000000000003
A,ST3700000000000,North Carolina,0,T,5396,37000,ENU3700010010,LAUST37000000000003
A,ST3800000000000,North Dakota,0,T,5618,38000,ENU3800010010,LAUST38000000000003
A,ST3900000000000,Ohio,0,T,5691,39000,ENU3900010010,LAUST39000000000003
A,ST4000000000000,Oklahoma,0,T,5928,40000,ENU4000010010,LAUST40000000000003
A,ST4100000000000,Oregon,0,T,6063,41000,ENU4100010010,LAUST41000000000003
A,ST4200000000000,Pennsylvania,0,T,6163,42000,ENU4200010010,LAUST42000000000003
A,ST4400000000000,Rhode Island,0,T,6354,44000,ENU4400010010,LAUST44000000000003
A,ST4500000000000,South Carolina,0,T,6402,45000,ENU4500010010,LAUST45000000000003
A,ST4600000000000,South Dakota,0,T,6504,46000,ENU4600010010,LAUST46000000000003
A,ST4700000000000,Tennessee,0,T,6590,47000,ENU4700010010,LAUST47000000000003
A,ST4800000000000,Texas,0,T,6762,48000,ENU4800010010,LAUST48000000000003
A,ST4900000000000,Utah,0,T,7324,49000,ENU4900010010,LAUST49000000000003
A,ST5000000000000,Vermont,0,T,7407,50000,ENU5000010010,LAUST50000000000003
A,ST5100000000000,Virginia,0,T,7694,51000,ENU5100010010,LAUST51000000000003
A,ST5300000000000,Washington,0,T,7893,53000,ENU5300010010,LAUST53000000000003
A,ST5400000000000,West Virginia,0,T,8012,54000,ENU5400010010,LAUST54000000000003
A,ST5500000000000,Wisconsin,0,T,8100,55000,ENU5500010010,LAUST55000000000003
A,ST5600000000000,Wyoming,0,T,8251,56000,ENU5600010010,LAUST56000000000003
A,ST7200000000000,Puerto Rico,0,T,8289,72000,ENU7200010010,LAUST72000000000003
B,MT0111500000000,"Anniston-Oxford-Jacksonville, AL Metropolitan Statistical Area",0,T,2,1115,ENU0111510010,LAUCN011150000000003
B,MT0112220000000,"Auburn-Opelika, AL Metropolitan Statistical Area",0,T,3,1122,ENU0112210010,LAUCN011220000000003
B,MT0113820000000,"Birmingham-Hoover, AL Metropolitan Statistical Area",0,T,4,1138,ENU0113810010,LAUCN011380000000003
B,MT0119300000000,"Daphne-Fairhope-Foley, AL Metropolitan Statistical Area",0,T,5,1193,ENU0119310010,LAUCN011930000000003
B,MT0119460000000,"Decatur, AL Metropolitan Statistical Area",0,T,6,1194,ENU0119410010,LAUCN011940000000003
B,MT0120020000000,"Dothan, AL Metropolitan Statistical Area",0,T,7,1200,ENU0120010010,LAUCN012000000000003
B,MT0122520000000,"Florence-Muscle Shoals, AL Metropolitan Statistical Area",0,T,8,1225,ENU0122510010,LAUCN012250000000003
B,MT0123460000000,"Gadsden, AL Metropolitan Statistical Area",0,T,9,1234,ENU0123410010,LAUCN012340000000003
B,MT0126620000000,"Huntsville, AL Metropolitan Statistical Area",0,T,10,1266,ENU0126610010,LAUCN012660000000003
